"estimate","statistic","p.value","method","alternative","GeriatricAssessment","gene","padj"
0.155545142132821,1123.12496096335,0.512575530737303,"Spearman's rank correlation rho","two.sided","carg_score","ADORA2A",0.989178594468286
0.0827044902072075,1220.00302802441,0.728858070982505,"Spearman's rank correlation rho","two.sided","carg_score","AHR",0.989178594468286
-0.124436113706257,1495.50003122932,0.601181690984632,"Spearman's rank correlation rho","two.sided","carg_score","B3GAT1",0.989178594468286
-0.110019734679313,1476.32624712349,0.644261877287808,"Spearman's rank correlation rho","two.sided","carg_score","BCL6",0.989178594468286
0.296673905238699,935.423706032531,0.204025303347957,"Spearman's rank correlation rho","two.sided","carg_score","BTLA",0.978059443884534
0.0478016778261842,1266.42376849117,0.841383261474522,"Spearman's rank correlation rho","two.sided","carg_score","C10orf54",0.989178594468286
0.0751169222982894,1230.09449334328,0.752953392379085,"Spearman's rank correlation rho","two.sided","carg_score","CCR4",0.989178594468286
0.223833253313085,1032.3017730936,0.342788241166835,"Spearman's rank correlation rho","two.sided","carg_score","CCR6",0.989178594468286
0.127471140869824,1160.46338264313,0.592266146833111,"Spearman's rank correlation rho","two.sided","carg_score","CD127",0.989178594468286
-0.0819457334163157,1438.9878254437,0.731257028940843,"Spearman's rank correlation rho","two.sided","carg_score","CD160",0.989178594468286
0.237490875549137,1014.13713551965,0.313346861533687,"Spearman's rank correlation rho","two.sided","carg_score","CD200R1",0.989178594468286
-0.024280217308538,1362.29268902036,0.919068484823337,"Spearman's rank correlation rho","two.sided","carg_score","CD244",0.989178594468286
0.197276765631871,1067.62190170961,0.404461157728747,"Spearman's rank correlation rho","two.sided","carg_score","CD27",0.989178594468286
0.334611744783289,884.966379438225,0.149293420567572,"Spearman's rank correlation rho","two.sided","carg_score","CD274",0.956834850681366
0.318677852174561,906.158456607834,0.170866678640024,"Spearman's rank correlation rho","two.sided","carg_score","CD276",0.956834850681366
0.110778491470205,1182.66460634463,0.6419654933702,"Spearman's rank correlation rho","two.sided","carg_score","CD28",0.989178594468286
0.433250127599225,753.777330293031,0.0563595932592244,"Spearman's rank correlation rho","two.sided","carg_score","CD3D",0.956834850681366
0.32247163612902,901.112723948403,0.165547307088618,"Spearman's rank correlation rho","two.sided","carg_score","CD3E",0.956834850681366
0.327782933665263,894.0486982252,0.158293101144161,"Spearman's rank correlation rho","two.sided","carg_score","CD4",0.956834850681366
0.57362013391421,567.085221894101,0.00818402692380912,"Spearman's rank correlation rho","two.sided","carg_score","CD80",0.95139312989281
-0.0227627037267544,1360.27439595658,0.924112271515831,"Spearman's rank correlation rho","two.sided","carg_score","CD86",0.989178594468286
-0.0462841642444005,1391.55793844505,0.846360426955256,"Spearman's rank correlation rho","two.sided","carg_score","CD8A",0.989178594468286
-0.0462841642444005,1391.55793844505,0.846360426955256,"Spearman's rank correlation rho","two.sided","carg_score","CD96",0.989178594468286
-0.0546304889442105,1402.6585502958,0.819060182919923,"Spearman's rank correlation rho","two.sided","carg_score","CDKN1B",0.989178594468286
0.393036017681959,807.262096482995,0.0864711081098437,"Spearman's rank correlation rho","two.sided","carg_score","CDKN2A..ARF.",0.956834850681366
0.0743581655073976,1231.10363987516,0.755375474480866,"Spearman's rank correlation rho","two.sided","carg_score","CDKN2A..p16.",0.989178594468286
0.360409475673611,850.655397354098,0.118519962362987,"Spearman's rank correlation rho","two.sided","carg_score","CEACAM1",0.956834850681366
0.0629768136440204,1246.24083785345,0.791958961133679,"Spearman's rank correlation rho","two.sided","carg_score","CTLA4",0.989178594468286
0.182860386604927,1086.79568581545,0.440315020654295,"Spearman's rank correlation rho","two.sided","carg_score","CXCR3",0.989178594468286
-0.462841642444005,1945.57938445053,0.0398781920000942,"Spearman's rank correlation rho","two.sided","carg_score","EGR1",0.956834850681366
-0.143405033478552,1520.72869452647,0.546400175741075,"Spearman's rank correlation rho","two.sided","carg_score","EOMES",0.989178594468286
0.0971208692341519,1200.82924391858,0.683761020398659,"Spearman's rank correlation rho","two.sided","carg_score","FOXO1",0.989178594468286
0.101673409979503,1194.77436472726,0.669723203849463,"Spearman's rank correlation rho","two.sided","carg_score","FOXP3",0.989178594468286
0.344475583064883,871.847474523706,0.136933160455355,"Spearman's rank correlation rho","two.sided","carg_score","GATA3",0.956834850681366
-0.0303502716356725,1370.36586127544,0.898924921942076,"Spearman's rank correlation rho","two.sided","carg_score","GRAIL",0.989178594468286
-0.357374448510044,1805.30801651836,0.121882309960145,"Spearman's rank correlation rho","two.sided","carg_score","GZMB",0.956834850681366
-0.21776319898595,1619.62505465131,0.356374113352815,"Spearman's rank correlation rho","two.sided","carg_score","HAVCR2",0.989178594468286
-0.0986383828159356,1461.18904914519,0.679070367703145,"Spearman's rank correlation rho","two.sided","carg_score","IFNG",0.989178594468286
0.148392749857591,1132.6376426894,0.532382085628541,"Spearman's rank correlation rho","two.sided","carg_score","IL.10",0.989178594468286
0.150992601387471,1129.17984015466,0.525141791612831,"Spearman's rank correlation rho","two.sided","carg_score","IL.17A",0.989178594468286
0.180584116232251,1089.82312541111,0.446123999729569,"Spearman's rank correlation rho","two.sided","carg_score","IL.2",0.989178594468286
0.0591830296895614,1251.28657051288,0.804251170633376,"Spearman's rank correlation rho","two.sided","carg_score","IL.21",0.989178594468286
-0.277704985466403,1699.34763067032,0.235834463294786,"Spearman's rank correlation rho","two.sided","carg_score","IL.4",0.989178594468286
0.384689692982149,818.362708333742,0.0939780432706918,"Spearman's rank correlation rho","two.sided","carg_score","IL2RA",0.956834850681366
0.444631479462602,738.64013231474,0.0495005581560474,"Spearman's rank correlation rho","two.sided","carg_score","IL6",0.956834850681366
-0.345234339855775,1789.16167200818,0.136013233076376,"Spearman's rank correlation rho","two.sided","carg_score","ITCH",0.956834850681366
-0.164650223623523,1548.98479741929,0.48788090076897,"Spearman's rank correlation rho","two.sided","carg_score","KIR.Activating.Subgroup.1",0.989178594468286
-0.160097682878172,1542.92991822797,0.500154329321103,"Spearman's rank correlation rho","two.sided","carg_score","KIR_Activating_Subgroup_2",0.989178594468286
-0.108502221097529,1474.30795405971,0.648863947879477,"Spearman's rank correlation rho","two.sided","carg_score","KIR_Inhibiting_Subgroup_1",0.989178594468286
-0.109260977888421,1475.3171005916,0.646561368053297,"Spearman's rank correlation rho","two.sided","carg_score","KIR_Inhibiting_Subgroup_2",0.989178594468286
-0.22610952368576,1630.72566650206,0.337772669651436,"Spearman's rank correlation rho","two.sided","carg_score","KLRG1",0.989178594468286
0.0546304889442105,1257.3414497042,0.819060182919923,"Spearman's rank correlation rho","two.sided","carg_score","LAG3",0.989178594468286
-0.170720277950658,1557.05796967438,0.47175066676955,"Spearman's rank correlation rho","two.sided","carg_score","NECTIN2",0.989178594468286
0.00379378395445906,1324.95426734057,0.987335050435018,"Spearman's rank correlation rho","two.sided","carg_score","PDCD1",0.995225804436475
-0.286051310166213,1710.44824252106,0.221466127433604,"Spearman's rank correlation rho","two.sided","carg_score","PDCD1LG2",0.989178594468286
-0.0288327580538889,1368.34756821167,0.903955707271708,"Spearman's rank correlation rho","two.sided","carg_score","PRDM1",0.989178594468286
-0.0789107062527485,1434.95123931616,0.74087669761596,"Spearman's rank correlation rho","two.sided","carg_score","PTPRC_1",0.989178594468286
-0.0182101629814035,1354.21951676527,0.939259631229035,"Spearman's rank correlation rho","two.sided","carg_score","PTPRC_2",0.989178594468286
-0.186654170559386,1578.25004684398,0.4307221524526,"Spearman's rank correlation rho","two.sided","carg_score","PTPRC_3",0.989178594468286
-0.0834632469980993,1441.00611850747,0.726461537039558,"Spearman's rank correlation rho","two.sided","carg_score","PVR",0.989178594468286
-0.0690468679711549,1421.83233440164,0.772390474027429,"Spearman's rank correlation rho","two.sided","carg_score","PVRIG",0.989178594468286
-0.064494327225804,1415.77745521032,0.787055111546035,"Spearman's rank correlation rho","two.sided","carg_score","RORA",0.989178594468286
0.257218552112324,987.899325690609,0.27360433236435,"Spearman's rank correlation rho","two.sided","carg_score","RORC",0.989178594468286
-0.0174514061905117,1353.21037023338,0.94178628166567,"Spearman's rank correlation rho","two.sided","carg_score","RUNX3",0.989178594468286
-0.471946723934707,1957.68914283316,0.0356462235490178,"Spearman's rank correlation rho","two.sided","carg_score","SPI1",0.956834850681366
0.222315739731301,1034.32006615737,0.346155978748727,"Spearman's rank correlation rho","two.sided","carg_score","SPN",0.989178594468286
-0.169961521159766,1556.04882314249,0.4737521250358,"Spearman's rank correlation rho","two.sided","carg_score","TBX21",0.989178594468286
0.149475087805687,1131.19813321844,0.529362294870616,"Spearman's rank correlation rho","two.sided","carg_score","TGFB1",0.989178594468286
0.108502221097529,1185.69204594029,0.648863947879476,"Spearman's rank correlation rho","two.sided","carg_score","TIGIT",0.989178594468286
0.373308341118772,833.499906312034,0.104969376588902,"Spearman's rank correlation rho","two.sided","carg_score","TNF",0.956834850681366
0.282743219038121,953.951518679299,0.227090793111088,"Spearman's rank correlation rho","two.sided","carg_score","TNFRSF14",0.989178594468286
-0.0106225950724854,1344.12805144641,0.964547448698967,"Spearman's rank correlation rho","two.sided","carg_score","TNFRSF18",0.989178594468286
