"","term","estimate","std.error","statistic","p.value","coef.type"
"33","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_longum",0.0722236613957622,0.194372807488988,0.371572867258472,0.710210893719433,"location"
"34","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum",0.295086189760034,0.0948950771041914,3.10960482634984,0.00187337796245645,"location"
"35","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_pullorum",21.4078979610121,31.0060563527004,0.690442464449293,0.489915980168316,"location"
"36","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Parascardovia",-268.390463307601,2648.08931747829,-0.101352496509892,0.919270644512303,"location"
"37","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Parascardovia.s__Parascardovia_denticolens",-268.390463307601,2648.08931747829,-0.101352496509892,0.919270644512303,"location"
"38","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Scardovia",29.0620532946033,109.698636844549,0.264926293804237,0.791066242304593,"location"
"39","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Scardovia.s__Scardovia_wiggsiae",29.0620532946033,109.698636844549,0.264926293804237,0.791066242304593,"location"
"40","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales",-52.6794875755687,46.7846243855599,-1.12600001105979,0.260165514643147,"location"
"41","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriaceae",-52.6794875755687,46.7846243855599,-1.12600001105979,0.260165514643147,"location"
"42","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriaceae.g__Corynebacterium",-52.6794875755687,46.7846243855599,-1.12600001105979,0.260165514643147,"location"
