"microbe","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","TaxaLevel"
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Turicimonas",54.0596646970981,-25.9399138223237,2.96516869715936,-8.74820843993606,2.16766594448673e-18,1.03831198740915e-15,"genus"
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_vestibularis",24.858349439018,-25.6027517148028,2.97136279962337,-8.61650139728748,6.90309549583483e-18,3.30658274250488e-15,"species"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_sp_CAG_309",27.8574311621682,-25.4448719685558,2.97068256220527,-8.56532848453081,1.07768171296661e-17,5.16209540511007e-15,"species"
"k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Viruses_unclassified",478.747221697983,25.5014990457392,2.98091043988952,8.55493633907512,1.17933798690114e-17,5.64902895725644e-15,"family"
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Turicimonas|s__Turicimonas_muris",15.6601857500034,-24.9842136903727,2.9736415902155,-8.40189139558077,4.393440753528e-17,2.10445812093991e-14,"species"
"k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_unclassified|s__Lactococcus_phage_BM13",58.6308142008628,24.9290607636446,2.98123867475904,8.36198086879424,6.16738474391372e-17,2.95417729233467e-14,"species"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas|s__Butyricimonas_synergistica",22.0281482601399,-24.6509098836361,2.97216915946833,-8.29391214329325,1.09583404071821e-16,5.24904505504023e-14,"species"
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris",46.7833021809717,24.612911141818,2.98132983158188,8.25568203862853,1.5103722675392e-16,7.23468316151277e-14,"species"
"k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales|f__Retroviridae|g__Retroviridae_unclassified|s__Human_endogenous_retrovirus_K",39.5482775920795,24.3799407821748,2.98141219201624,8.17731303556767,2.90243282983445e-16,1.3902653254907e-13,"species"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_infantium",37.7496763797809,24.3108414084539,2.98143805348939,8.15406557919296,3.51889898934268e-16,1.68555261589514e-13,"species"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_aldenense",29.1519192115586,23.9541816547264,2.98160217746738,8.03399656592466,9.43478372086266e-16,4.51926140229321e-13,"species"
"k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_unclassified|s__Lactococcus_phage_bIL286",62.2189343947001,23.7993764671327,2.98121798883149,7.98310507862628,1.4269732877601e-15,6.83520204837087e-13,"species"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_sp_T11011_6",25.7215932195566,23.7780722805224,2.9816991104821,7.97467195698288,1.52786085831974e-15,7.31845351135157e-13,"species"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_caccae",22.865008963545,23.6108299348532,2.98180035741626,7.91831346995747,2.40753775090693e-15,1.15321058268442e-12,"species"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacteriaceae_unclassified|s__Eubacteriaceae_bacterium_CHKCI005",4.8982664709479,-23.426865322745,2.97864936314116,-7.86492885421064,3.6930727875871e-15,1.76898186525422e-12,"species"
"k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified|o__Proteobacteria_unclassified|f__Proteobacteria_unclassified",10.0960836058962,-23.2034854833735,2.96641101458834,-7.8220736672236,5.19601847915176e-15,2.48889285151369e-12,"family"
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia",28.0944587406696,23.3144132514113,2.98171123334011,7.81913855061494,5.31860460670214e-15,2.54761160661033e-12,"genus"
"k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified|o__Proteobacteria_unclassified",9.76349953168218,-23.1219981256832,2.96633563198694,-7.79480173327365,6.45096878624369e-15,3.09001404861073e-12,"order"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_299",16.3358711715049,23.1381329555313,2.98216627335159,7.7588339598271,8.5713779250388e-15,4.10569002609359e-12,"species"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacteriaceae_unclassified",4.88031457557507,-22.6952774039318,2.96961183090941,-7.64250639349779,2.13033421230609e-14,1.02043008769462e-11,"genus"
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Massiliomicrobiota",17.7710846921734,22.6755732941674,2.98219103455587,7.60366221728128,2.87866018113897e-14,1.37887822676556e-11,"genus"
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Massiliomicrobiota|s__Massiliomicrobiota_timonensis",10.2476574022542,22.4973474487369,2.98292299774872,7.54204767126613,4.62648549254347e-14,2.21608655092832e-11,"species"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus",15.0612123603499,22.4466323545852,2.98242549074344,7.52630113451377,5.21978804714828e-14,2.50027847458403e-11,"genus"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae",15.4637870987187,22.2871587872087,2.9818875905919,7.47417805336675,7.76878935047275e-14,3.72125009887645e-11,"family"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Marvinbryantia",14.8204067713094,22.1198343576484,2.98245166602995,7.41666147002238,1.20109427117754e-13,5.75324155894039e-11,"genus"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Marvinbryantia|s__Marvinbryantia_formatexigens",14.4336997922692,21.7735852187185,2.98233759415033,7.30084523677871,2.85965528539339e-13,1.36977488170343e-10,"species"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales",17.5027962924947,21.2928616574169,2.98181975823621,7.1408949513474,9.27251974631602e-13,4.44153695848537e-10,"order"
